path,block,parcel
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P16__photo1.jpg,B5,P16
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P17__photo1.jpg,B5,P17
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P18__photo1.jpg,B5,P18
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P19__photo1.jpg,B5,P19
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P20__photo1.jpg,B5,P20
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P22__photo1.jpg,B5,P22
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P22__photo2.jpg,B5,P22
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P23__photo1.jpg,B5,P23
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P24__photo1.jpg,B5,P24
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P25__photo1.jpg,B5,P25
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P26__photo1.jpg,B5,P26
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P26__photo2.jpg,B5,P26
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P27__photo1.jpg,B5,P27
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P28__photo1.jpg,B5,P28
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P28__photo2.jpg,B5,P28
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P29__photo1.jpg,B5,P29
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P30__photo1.jpg,B5,P30
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B5/B5_P30__photo2.jpg,B5,P30
